,0
0,NEU
1,NEG
2,NEU
3,NEU
4,NEG
5,NEU
6,NEU
7,NEG
8,NEG
9,NEG
10,NEU
11,NEG
12,NEU
13,NEU
14,NEU
15,NEG
16,NEU
17,NEU
18,NEU
19,NEU
20,NEU
21,NEU
22,NEG
23,NEU
24,NEG
25,NEU
26,NEU
27,NEU
28,NEG
29,NEU
30,NEU
31,NEU
32,NEG
33,NEG
34,NEU
35,NEG
36,NEG
37,NEU
38,NEU
39,NEU
40,NEU
41,NEU
42,NEG
43,NEG
44,NEG
45,NEU
46,NEU
47,NEG
48,NEU
49,NEU
50,NEU
51,NEG
52,NEG
53,NEG
54,NEG
55,NEG
56,NEU
57,NEU
58,NEU
59,NEG
60,NEG
61,NEU
62,NEU
63,NEG
64,NEU
65,NEU
66,NEU
67,NEU
68,NEU
69,NEU
70,NEU
71,NEU
72,NEU
73,NEU
74,NEU
75,NEU
76,NEG
77,NEU
78,NEU
79,NEG
80,NEG
81,NEU
82,NEG
83,NEG
84,NEU
85,NEU
86,NEU
87,NEU
88,NEU
89,POS
90,NEG
91,NEU
92,NEU
93,NEU
94,NEG
95,NEU
96,NEG
97,NEU
98,NEU
99,NEU
100,NEU
101,NEU
102,NEU
103,NEU
104,NEU
105,NEU
106,NEU
107,NEU
108,POS
109,NEU
110,NEU
111,NEG
112,NEU
113,NEU
114,NEG
115,NEU
116,NEU
117,NEG
118,NEU
119,POS
120,NEU
121,NEU
122,POS
123,NEG
124,NEU
125,NEU
126,NEG
127,NEU
128,NEG
129,NEG
130,NEG
131,NEG
132,NEU
133,NEG
134,NEU
135,NEU
136,NEU
137,POS
138,NEU
139,NEU
140,NEU
141,NEU
142,NEU
143,NEG
144,NEU
145,NEG
146,NEU
147,NEU
148,NEU
149,NEU
150,NEU
151,NEU
152,NEU
153,NEU
154,NEU
155,NEG
156,NEG
157,NEU
158,NEG
159,NEU
160,NEU
161,NEU
162,NEU
163,NEG
164,NEU
165,NEU
166,NEU
167,NEG
168,NEU
169,NEU
170,NEU
171,NEU
172,NEG
173,NEU
174,NEU
175,NEU
176,NEU
177,NEU
178,NEU
179,NEU
180,POS
181,NEU
182,NEG
183,NEU
184,NEU
185,NEG
186,NEG
187,NEU
188,NEU
189,NEU
190,NEG
191,POS
192,NEG
193,NEU
194,NEU
195,NEU
196,NEU
197,NEU
198,NEG
199,NEU
200,NEU
201,NEG
202,NEU
203,NEU
204,NEG
205,NEU
206,NEG
207,NEU
208,NEU
209,NEU
210,NEU
211,NEU
212,NEU
213,NEU
214,NEU
215,NEU
216,NEG
217,NEU
218,NEG
219,NEU
220,NEG
221,NEU
222,NEU
223,NEU
224,NEU
225,NEU
226,NEU
227,NEU
228,NEG
229,NEU
230,NEU
231,NEU
232,NEG
233,NEU
234,NEU
235,POS
236,NEU
