datetime,Unnamed: 0,text,isRetweet,processed_text,topics,top_3_topics,topic_confidences,sentiment,sentiment_score,named_entities,cluster,Climate & Environment,Consumer & Retail,Corporate Sector,Crypto & Digital Assets,Education & Knowledge,Energy & Commodities,Financial Markets,Geopolitics & Policy,Health & Biotech,Legal & Regulation,Macro Finance,Real Estate & Housing,Society & Labor,Tech & Innovation,Transport & Logistics,Uncertain
2025-07-09 20:29:00,0,"I am pleased to announce that I am directing our GREAT Secretary of Transportation, Sean Duffy, to be Interim Administrator of NASA. Sean is doing a TREMENDOUS job in handling our Country??s Transportation Affairs, including creating a state-of-the-art Air Traffic Control systems, while at the same time rebuilding our roads and bridges, making them efficient, and beautiful, again. He will be a fantastic leader of the ever more important Space Agency, even if only for a short period of time. Congratulations, and thank you, Sean!",False,great transportation sean duffy interim nasa sean tremendous country transportation affairs air traffic control space agency pleased announce directing secretary administrator job handling including creating system time rebuilding road bridge making efficient beautiful fantastic leader ever important even short period time congratulation thank,['Transport & Logistics'],"Transport & Logistics, Corporate Sector, Geopolitics & Policy","[0.956, 0.013, 0.006]",POSITIVE,0.9994,"['sean', 'nasa']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-07-09 20:13:00,2,"HAPPY BIRTHDAY TO SENATOR LINDSEY GRAHAM! He is always there when I need him, and I hope everyone in the Great State of South Carolina will help Lindsey have a BIG WIN in his Re-Election bid next year. MAKE AMERICA GREAT AGAIN!",False,lindsey great south carolina lindsey big make america happy birthday senator graham always need hope everyone state help win bid next year,['Uncertain'],"Geopolitics & Policy, Society & Labor, Legal & Regulation","[0.294, 0.0, 0.0]",POSITIVE,0.9973,"['south carolina', 'graham', 'next year']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-07-09 20:11:00,4,"Senator Roger Marshall is an incredibly strong advocate for the wonderful people of Kansas, a State I love, and WON BIG, in 2016, 2020, and 2024!??A distinguished Medical Doctor and U.S. Army Veteran, Roger knows how to Defend our Country, Support our Brave Military/Veterans, and Ensure PEACE THROUGH STRENGTH. In the U.S. Senate, Roger is working hard to Champion our Great Farmers and American Agriculture, Grow our Economy, Cut Taxes and Regulations, Help Secure our now VERY Secure (Record Setting!) Southern Border, Champion American Energy DOMINANCE, and Defend our always under siege Second Amendment.??KANSAS, Roger Marshall has my Complete and Total Endorsement for Re-Election ?? HE WILL NEVER LET YOU DOWN!",False,roger marshall kansas won medical doctor u.s. army veteran roger support brave ensure peace u.s. senate roger great farmers american agriculture grow cut taxes regulations help secure very record setting southern border champion american energy dominance kansas roger marshall complete total senator incredibly strong advocate wonderful people state love big distinguished know defend country strength working hard economy defend always siege second amendment endorsement never,['Geopolitics & Policy'],"Geopolitics & Policy, Legal & Regulation, Energy & Commodities","[0.978, 0.003, 0.001]",POSITIVE,0.9992,"['roger great', 'american', 'kansas', 'second', 'roger marshall', 'senate', 'roger support brave', 'u.s.']",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-07-09 11:36:00,10,"Nevada: On Saturday, July 12th, GET OUT AND VOTE for Michael J. McDonald for Chair of the Republican Party, and the entire Executive Board: Jim Hindle, Barbara Hawn, Kathy Njus, Bruce Parks, and Jesse Law. We had a Historic WIN in Nevada in November, and these Great American Patriots will continue to fight tirelessly to secure Republican Victories in 2026, and beyond ?? THEY ARE FANTASTIC. THANK YOU NEVADA!",False,nevada get michael j. mcdonald republican party jim hindle barbara hawn kathy njus bruce parks jesse law historic nevada american patriots republican thank saturday july vote chair entire executive board win november great continue fight tirelessly secure victory beyond fantastic,['Uncertain'],"Geopolitics & Policy, Legal & Regulation, Corporate Sector","[0.008, 0.001, 0.001]",POSITIVE,0.999,"['november', 'michael j. mcdonald republican party', 'nevada', 'jim hindle', 'saturday july', 'republican', 'nevada american']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-07-09 10:00:00,13,"Our Fed Rate is AT LEAST 3 Points too high. ??Too Late?? is costing the U.S. 360 Billion Dollars a Point, PER YEAR, in refinancing costs. No Inflation, COMPANIES POURING INTO AMERICA. ??The hottest Country in the World!?? LOWER THE RATE!!!",False,too late u.s. billion dollars per companies into rate fed least point high costing point year refinancing cost inflation pouring america hottest country world lower,"['Financial Markets', 'Macro Finance', 'Corporate Sector']","Financial Markets, Macro Finance, Corporate Sector","[0.999, 0.998, 0.982]",NEGATIVE,0.999,[],1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2025-07-08 20:59:00,17,"It has been brought to my attention that the Great State of Florida, which I won BIG three times, and where I am a proud Resident, has renamed an important four-mile stretch of Southern Boulevard, in Palm Beach County, to ??PRESIDENT DONALD J. TRUMP BOULEVARD.?? Thank you to Palm Beach County, Governor Ron DeSantis, and all of Florida??s great State Lawmakers, on granting me this wonderful honor! I LOVE FLORIDA!",False,great florida southern boulevard palm donald j. beach county ron desantis florida brought attention state big three time proud resident renamed important stretch president trump thank governor state lawmaker granting wonderful honor love,['Uncertain'],"Geopolitics & Policy, Society & Labor, Corporate Sector","[0.027, 0.006, 0.001]",POSITIVE,0.9998,"['donald j. beach county ron desantis', 'great florida southern boulevard', 'three', 'florida']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-07-06 22:12:00,24,"I am pleased to announce that the UNITED STATES TARIFF Letters, and/or Deals, with various Countries from around the World, will be delivered starting 12:00 P.M. (Eastern), Monday, July 7th. Thank you for your attention to this matter! DONALD J. TRUMP, President of The United States of America.",False,united tariff letters eastern july donald united states america pleased announce deal various country around world delivered starting monday thank attention matter trump president,['Geopolitics & Policy'],"Geopolitics & Policy, Macro Finance, Financial Markets","[0.993, 0.32, 0.032]",POSITIVE,0.9994,"['monday', 'united states america']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-07-06 19:52:00,25,"GOD BLESS ALL OF THE PEOPLE WHO HAVE GONE THROUGH SO MUCH, AND GOD BLESS THE STATE OF TEXAS!",False,the people gone and state of god bless much god bless texas,['Geopolitics & Policy'],"Geopolitics & Policy, Society & Labor, Crypto & Digital Assets","[0.717, 0.394, 0.0]",POSITIVE,0.9991,"['texas', 'god']",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-07-06 18:20:00,26,"I am saddened to watch Elon Musk go completely ??off the rails,?? essentially becoming a TRAIN WRECK over the past five weeks. He even wants to start a Third Political Party, despite the fact that they have never succeeded in the United States - The System seems not designed for them. The one thing Third Parties are good for is the creation of Complete and Total DISRUPTION & CHAOS, and we have enough of that with the Radical Left Democrats, who have lost their confidence and their minds! Republicans, on the other hand, are a smooth running ??machine,?? that just passed the biggest Bill of its kind in the History of our Country. It is a Great Bill but, unfortunately for Elon, it eliminates the ridiculous Electric Vehicle (EV) Mandate, which would have forced everyone to buy an Electric Car in a short period of time. I have been strongly opposed to that from the very beginning. People are now allowed to buy whatever they want - Gasoline Powered, Hybrids (which are doing very well), or New Technologies as they come about - No more EV Mandate. I have campaigned on this for two years and, quite honestly, when Elon gave me his total and unquestioned Endorsement, I asked him whether or not he knew that I was going to terminate the EV Mandate - It was in every speech I made, and in every conversation I had. He said he had no problems with that - I was very surprised! Additionally, Elon asked that one of his close friends run NASA and, while I thought his friend was very good, I was surprised to learn that he was a blue blooded Democrat, who had never contributed to a Republican before. Elon probably was, also. I also thought it inappropriate that a very close friend of Elon, who was in the Space Business, run NASA, when NASA is such a big part of Elon??s corporate life. My Number One charge is to protect the American Public!",False,elon musk train united states system complete total chaos radical left democrats bill great bill elon electric vehicle electric car gasoline powered hybrids new technologies elon ev mandate elon nasa republican elon elon space business nasa nasa elon american public saddened watch go completely rail essentially becoming wreck past five week even want start third political party despite fact never succeeded seems designed one thing third party good creation disruption enough lost confidence mind republican hand smooth running machine passed biggest kind history country unfortunately eliminates ridiculous would forced everyone buy short period time strongly opposed beginning people allowed buy whatever want well come campaigned two year quite honestly gave unquestioned endorsement asked whether knew going terminate every speech made every conversation problem surprised additionally asked one close friend run thought friend good surprised learn blue blooded never contributed probably also also thought inappropriate close friend run big part corporate life number one charge protect,['Geopolitics & Policy'],"Geopolitics & Policy, Corporate Sector, Society & Labor","[0.879, 0.089, 0.017]",NEGATIVE,0.9976,"['united states', 'one', 'two year', 'nasa', 'past five week', 'elon american', 'nasa nasa', 'third', 'bill elon', 'republican', 'democrats', 'elon musk']",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-07-05 16:48:00,28,"The One Big Beautiful Bill will deliver the strongest border on Earth, the strongest economy on Earth, the strongest military on Earth, & ensure the United States of America will remain the strongest country anywhere on this beautiful planet of ours??",False,beautiful bill earth earth earth united states america one big deliver strongest border strongest economy strongest military ensure remain strongest country anywhere planet,['Geopolitics & Policy'],"Geopolitics & Policy, Climate & Environment, Macro Finance","[0.994, 0.001, 0.0]",POSITIVE,0.9991,"['one', 'america']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
